dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","110","L1Q","1","Fri","15:00","18:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L1F","1","Tue","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","27","6","0","27","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L1D","1","Thu","10:30","12:30","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","1","34","0","1","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","T2P","2","Mon","9:00","10:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","23","17","23","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T2E","2","Mon","14:00","15:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","2","38","2","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","1W2","1","Tue","8:00","9:30"," "," "," ","TBD","Waiting List","4","999","0","999","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","1W2","1","Thu","8:00","9:30"," "," "," ","TBD","Waiting List","4","999","0","999","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L1G","1","Thu","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","5","28","5","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","221","L2F","2","Wed","10:00","12:00","ICCS","Institute for Computing (ICICS/CS)","015","TBD","Laboratory","n/a","0","26","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T2A","2","Mon","11:00","12:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","17","23","0","17","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","221","L1K","1","Fri","13:00","15:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","23","10","23","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L2R","2","Fri","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","6","20","6","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","L2D","2","Thu","14:00","16:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","6","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T2C","2","Tue","13:00","14:00","DMP","Hugh Dempster Pavilion","101","TBD","Tutorial","n/a","3","37","0","3","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","L2F","2","Tue","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","5","21","0","5","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T2F","2","Fri","14:00","15:00","DMP","Hugh Dempster Pavilion","101","TBD","Tutorial","n/a","9","31","9","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","L2A","2","Tue","16:30","18:30","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","17","9","0","17","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T1M","1","Mon","11:00","12:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","5","35","5","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1K","1","Fri","11:00","13:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1T","1","Thu","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L2H","2","Fri","12:00","14:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","11","15","0","11","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T1A","1","Mon","9:00","10:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","16","24","7","9","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1C","1","Tue","17:30","19:30","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","12","14","1","11","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L1H","1","Tue","9:00","11:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","0","26","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","101","1","Tue","11:00","12:30","DMP","Hugh Dempster Pavilion","310","TSIKNIS, GEORGIOS","Lecture","4","0","175","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","101","1","Thu","11:00","12:30","DMP","Hugh Dempster Pavilion","310","TSIKNIS, GEORGIOS","Lecture","4","0","175","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","L2B","2","Tue","12:00","14:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","24","0","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","210","L1J","1","Tue","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","L1Q","1","Wed","17:00","19:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","310","L1F","1","Thu","14:00","16:00","ICCS","Institute for Computing (ICICS/CS)","X350","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","210","L1H","1","Fri","15:00","17:00","ICCS","Institute for Computing (ICICS/CS)","014","TBD","Laboratory","n/a","0","28","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","310","201","2","Tue","12:30","14:00","DMP","Hugh Dempster Pavilion","310","TBD","Lecture","4","29","131","0","29","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","310","201","2","Thu","12:30","14:00","DMP","Hugh Dempster Pavilion","310","TBD","Lecture","4","29","131","0","29","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","1W2","1","Tue","15:30","17:00"," "," "," ","TBD","Waiting List","4","995","4","995","0","1","Sep 05, 2017","Dec 01, 2017"
